year,PRCPTOT,RX1day,Rx5day,R95p,R99p,R10,R20,CDD,CWD,SDII
1980,1169.3589,83.76253,178.39113,267.95535,74.6304,34.81487,17.500202,88.45427,15.83481,13.210242
1981,1127.4033,89.87266,179.32448,275.9168,81.57307,32.654713,16.153103,72.98348,13.913175,13.012853
1982,1079.3019,82.72924,172.12183,242.8046,76.36199,32.063457,15.2796135,72.4726,14.279411,12.433306
1983,1291.1118,94.07743,193.98529,312.58945,98.18987,38.20024,18.98892,87.67445,15.505238,13.580661
1984,1137.554,90.94887,190.77654,313.38385,102.99594,32.55822,16.587831,88.1251,14.233884,13.650569
1985,1124.2059,89.71405,181.06764,286.356,89.2384,32.509872,16.412169,88.60637,14.077961,13.143073
1986,1104.7351,89.58047,196.76651,298.797,101.72548,31.545326,15.980057,75.71132,12.809226,13.413064
1987,1078.4252,85.121925,171.59732,294.5806,103.60626,31.00544,15.747381,81.414185,11.813457,12.866395
1988,1292.2032,99.21638,217.37404,373.97687,133.99251,36.903706,19.24315,86.64907,14.565472,14.351993
1989,1105.7687,91.270744,181.6642,285.6492,94.36569,32.19178,16.17506,86.335014,11.898469,13.392129
1990,1345.1567,101.89327,208.84393,358.8555,123.07301,38.721394,20.071514,76.04271,15.193795,13.908041
1991,1121.5259,91.72919,190.06206,311.73627,105.52944,31.960918,16.541298,87.85536,13.700846,13.476199
1992,1077.9946,94.289696,189.2837,286.14615,94.94002,31.343271,15.885576,97.922646,12.82091,14.086364
1993,1178.6042,93.72381,193.64877,305.82077,97.606064,34.29694,17.566881,82.36181,12.410355,14.005668
1994,1241.7651,102.68129,203.04968,348.70325,122.6596,35.090652,17.914183,83.25,14.284246,14.128996
1995,1203.3615,94.74031,206.58792,334.05865,111.54318,34.529613,17.986504,82.1664,14.628122,14.05281
1996,1164.1201,93.85947,198.869,314.1716,100.85036,34.054592,17.446615,90.80177,13.714544,13.833788
1997,1149.096,90.89436,187.12013,295.8654,99.853004,32.72542,16.186543,75.42405,11.987712,12.752188
1998,1191.0488,87.18757,181.15492,309.82635,91.66116,34.294724,17.530218,80.31749,13.770347,13.261338
1999,1076.8119,88.14012,179.49867,276.17432,88.17141,31.19601,15.945608,101.38094,13.235898,13.245778
2000,997.09216,84.755264,175.50627,242.9885,75.96656,28.981064,14.302579,92.26028,11.343271,12.985731
2001,1052.1881,85.63971,173.17334,253.6233,79.44965,30.82373,15.287066,88.408745,13.496978,12.631579
2002,923.8925,78.827065,164.36316,233.69698,76.27651,26.52518,13.28465,88.998795,10.936745,12.362371
2003,1154.3259,89.361725,181.6586,292.89035,91.38095,33.60677,17.113417,83.231064,13.30278,13.30418
2004,1038.5771,83.55598,177.38617,253.72499,80.40193,30.440975,15.417809,91.251205,12.645044,12.769881
2005,1199.711,100.71553,215.97296,367.90268,143.72421,32.98368,17.197018,77.864624,13.110597,14.020811
2006,1138.9329,102.604095,208.43533,364.54962,136.66003,30.902699,16.343271,76.07071,13.059428,14.294758
2007,1158.2415,100.901764,203.29828,351.73035,137.54916,31.859991,16.825544,89.46031,12.567889,13.91331
2008,1138.4089,89.70054,187.41858,287.9275,94.44832,33.198025,16.653103,76.395645,13.557212,12.927487
2009,989.3031,93.505165,186.58261,271.598,95.65061,27.849316,14.366035,94.850525,11.66942,13.363803
2010,1232.6705,86.26431,172.69356,315.85812,91.520164,36.164585,18.625301,93.298546,13.294722,13.389847
2011,1132.0977,84.085724,171.51396,279.56497,82.02234,33.332798,17.043917,93.6245,14.1921835,13.426995
2012,1055.0082,86.581764,172.14261,278.1885,89.89639,30.717768,15.75,102.03787,13.547744,13.500232
2013,1222.0387,93.90229,189.36041,337.4025,103.54713,35.079575,18.535456,73.62026,14.033239,13.894902
2014,1021.0592,91.760956,178.68326,285.51547,103.52461,28.871273,14.792103,78.26572,11.754432,13.035086
2015,1064.985,94.116394,189.87201,299.83994,105.39808,30.51229,15.671636,66.53404,10.673449,13.80619
2016,1089.5547,83.71104,178.60574,290.72827,91.56073,31.341257,16.296938,93.9309,12.403102,13.307205
2017,1121.0078,87.21168,181.01703,296.3555,94.57752,32.41922,16.769943,90.23691,12.041499,13.291117
2018,997.5949,81.87511,161.01997,254.5523,77.36277,29.098509,14.964343,89.477036,12.227639,12.996612
2019,1258.2941,97.34751,205.21402,367.86584,125.18497,35.128727,18.444803,74.60475,12.58058,14.119832
2020,1265.3622,89.43653,183.51566,326.0098,102.33889,36.623894,18.514303,71.75564,12.456084,13.179338
