,JJAS,OND,JF,MAM
u850,3.2781477,2.857992,2.3637874,1.8090674
v850,5.5589056,1.9309621,1.5665175,1.5815228
q850,27.22979,15.827722,19.768396,14.9877
z500,2.4160135,3.333178,5.6092973,3.6509438
rh850,24.933794,10.597277,12.771672,14.181274
mslp,7.5771017,3.5391638,3.3730295,1.7620139
t2m,9.159994,5.404933,5.7714796,5.451216
lat,14.343229,7.783501,5.9977865,8.083964
lon,23.80118,11.692263,9.438692,10.819516
month_sin,1.5518919,1.0347898,0.7928275,1.3159754
month_cos,3.1371796,2.2717836,1.9039751,1.6812032
